Date,Series reference,Period,Description,Revised,Initially published
yes,PPIQ.SQNC02420,2019.12,"PPI published commodities - input, Livestock, deer",1385,1391
yes,PPIQ.SQNC02420,2020.03,"PPI published commodities - input, Livestock, deer",1199,1205
yes,PPIQ.SQNCC0000,2019.09,"PPI input index level 1, Manufacturing",1153,1154
yes,PPIQ.SQNCC1000,2019.12,"PPI input index level 2, Food manufacturing",1231,1232
yes,PPIQ.SQNCC1000,2020.03,"PPI input index level 2, Food manufacturing",1202,1203
yes,PPIQ.SQNCC1100,2019.09,"PPI input index level 3, Meat and meat product manufacturing",1400,1403
yes,PPIQ.SQNCC1100,2019.12,"PPI input index level 3, Meat and meat product manufacturing",1450,1454
yes,PPIQ.SQNCC1100,2020.03,"PPI input index level 3, Meat and meat product manufacturing",1317,1320
yes,PPIQ.SQUAA0000,2019.09,"PPI output index level 1, Agriculture",1286,1287
yes,PPIQ.SQUAA0000,2019.12,"PPI output index level 1, Agriculture",1317,1318
yes,PPIQ.SQUAA0000,2020.03,"PPI output index level 1, Agriculture",1276,1277
yes,PPIQ.SQUAA1000,2019.09,"PPI output index level 2, Agriculture",1297,1298
yes,PPIQ.SQUAA1000,2019.12,"PPI output index level 2, Agriculture",1335,1336
yes,PPIQ.SQUAA1000,2020.03,"PPI output index level 2, Agriculture",1282,1283
yes,PPIQ.SQUAA1200,2019.09,"PPI output index level 3, Sheep, beef cattle, and grain farming",1541,1545
yes,PPIQ.SQUAA1200,2019.12,"PPI output index level 3, Sheep, beef cattle, and grain farming",1609,1613
yes,PPIQ.SQUAA1200,2020.03,"PPI output index level 3, Sheep, beef cattle, and grain farming",1424,1428
yes,PPIQ.SQUAA1300,2019.12,"PPI output index level 3, Dairy cattle farming",1100,1101
yes,PPIQ.SQUAA1400,2020.03,"PPI output index level 3, Poultry, deer, and other livestock farming",1276,1277
yes,PPIQ.SQUC02100,2019.09,"PPI published commodities - output, Livestock, sheep",2152,2178
yes,PPIQ.SQUC02100,2019.12,"PPI published commodities - output, Livestock, sheep",2245,2270
yes,PPIQ.SQUC02100,2020.03,"PPI published commodities - output, Livestock, sheep",1947,1972
yes,PPIQ.SQUC02250,2019.09,"PPI published commodities - output, Livestock, cattle",1958,1947
yes,PPIQ.SQUC02250,2019.12,"PPI published commodities - output, Livestock, cattle",2098,2087
yes,PPIQ.SQUC02250,2020.03,"PPI published commodities - output, Livestock, cattle",1754,1743
yes,PPIQ.SQUC02420,2019.09,"PPI published commodities - output, Livestock, deer",1394,1400
yes,PPIQ.SQUC02420,2019.12,"PPI published commodities - output, Livestock, deer",1383,1389
yes,PPIQ.SQUC02420,2020.03,"PPI published commodities - output, Livestock, deer",1197,1203
yes,PPIQ.SQUII0000,2020.03,"PPI output index level 1, Transport, postal and warehousing",1202,1199
yes,PPIQ.SQUII1000,2020.03,"PPI output index level 2, Transport, postal and warehousing",1202,1199
yes,PPIQ.SQUII1200,2020.03,"PPI output index level 3, Rail, water, air and other transport",1089,1083
